Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),1_ZONE1:Zone Air Temperature [C](Hourly),0_ZONE1:Zone Air Temperature [C](Hourly),0_ZONE2:Zone Air Temperature [C](Hourly),VRF_1_ZONE1 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_1_ZONE1 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRF_0_ZONE1 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_0_ZONE1 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRF_0_ZONE2 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_0_ZONE2 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly) 
 01/06  09:00:00,1.375,22.000146343891705,22.000516149824795,22.000455303302706,1.5456141274903359,0.5332101963709502,1.1603275344372575,0.28827753786897677,1.3949020347549875,0.42159615958061216 
 01/06  10:00:00,2.025,22.001919102326139,22.00033402572663,22.000512286953197,1.1965581384864335,0.2999571600088821,0.9911389120118788,0.25,1.1960274898867032,0.3015689093835811 
 01/06  11:00:00,3.216666666666667,22.001953470696596,22.012929328240636,22.082712653737123,1.0287360996792159,0.25,0.5210757332917598,0.16666666666666667,0.6365082446671041,0.16666666666666667 
 01/06  12:00:00,4.675000000000001,22.000412244852329,22.113315444236617,24.453618109362158,1.172683163340447,0.25,0.30496559782254548,0.041666666666666667,0.0,0.0 
 01/06  13:00:00,6.058333333333334,22.001717991760434,22.00072603209789,25.472986417074379,1.8433681506903062,0.25,1.8862919702458428,0.25,0.0,0.0 
 01/06  14:00:00,7.125,22.793973294062636,22.00034067670408,25.83992537440908,0.300731282955801,0.041666666666666667,1.851459078939983,0.25,1.3033600373051464,0.16666666666666667 
 01/06  15:00:00,7.675,23.408908543170239,22.00031404727024,25.910197201838235,0.0,0.0,1.8527101747746518,0.25,1.2462349529276982,0.16666666666666667 
 01/06  16:00:00,7.799999999999998,22.04219673480206,22.000836697397977,23.101913793470446,1.541412857755078,0.20833333333333335,1.929979054030819,0.25,0.7757053405633827,0.10416666666666667 
 01/06  17:00:00,7.625,22.00396604485114,22.00202946493725,22.001480513601309,1.932015724507484,0.25,1.9918664562344413,0.25,1.956168559769129,0.25 
 01/06  18:00:00,7.266666666666667,22.00622661877757,22.00263614480215,22.002225627130416,2.035673747535115,0.25,2.047604656636267,0.25,2.0524044305746504,0.25 
 01/06  19:00:00,6.75,22.006404841765926,22.002803557979666,22.00238465669349,2.0980853789286435,0.2536395585816466,2.0721532453437434,0.25,2.109283753554652,0.261678401965662 
 01/06  20:00:00,6.091666666666666,22.005538566545608,22.00272648141024,22.002321613651785,2.173323232860174,0.27935784138857497,2.080131264022428,0.25,2.150934175575986,0.27856950247785758 
 01/06  21:00:00,5.333333333333333,22.004715402948678,22.002633154878397,22.002237406636885,2.121693162160996,0.31257799001311828,1.9669041872614257,0.2535295882032681,2.0710616995853718,0.29995649078462258 
